StateAbbrev,NCESDistrictID,DistrictName,Online_months
AZ,400040,STEP UP Schools Inc. (4313),0
AZ,400041,Maricopa County Community College District dba Gat (4314),10
AZ,400047,Salt River Pima-Maricopa  Community Schools (4320),10
AZ,400052,Espiritu Community Development Corp. (4335),9
AZ,400055,EduPreneurship Inc. (4341),10
AZ,400077,Career Development Inc. (4400),10
AZ,400081,Presidio School (4425),10
AZ,400082,Colorado River Union High School District (4381),10
AZ,400083,Portable Practical Educational Preparation Inc. ( (4431),10
AZ,400090,Mingus Springs Charter School (4493),10
AZ,400092,Franklin Phonetic Primary School Inc. (4495),10
AZ,400095,Yuma Private Industry Council Inc. (4509),10
AZ,400100,Ball Charter Schools (Hearn) (4294),10
AZ,400102,Friendly House Inc. (4303),10
AZ,400109,Phoenix Advantage Charter School Inc. (4338),10
AZ,400112,American Leadership Academy Inc. (4348),10
AZ,400122,Acclaim Charter School (4325),10
AZ,400130,Edkey Inc. dba American Heritage Academy  (6365),5
AZ,400131,The Charter Foundation Inc. (6355),10
AZ,400135,Challenge School Inc. (6362),10
AZ,400141,Discovery Plus Academy (6357),1
AZ,400144,Florence Crittenton Services of Arizona Inc. (4300),10
AZ,400147,Ha:san Educational Services (6369),10
AZ,400149,Kaizen Education Foundation dba El Dorado High Sch (4342),10
AZ,400150,Mexicayotl Academy Inc. (4463),10
AZ,400151,New Horizon School for the Performing Arts (4366),10
AZ,400154,Shonto Governing Board of Education Inc. (6353),10
AZ,400157,Edkey Inc. - Sequoia Choice Schools (4329),3
AZ,400163,Coconino County Accommodation School District (10386),0
AZ,400184,Ball Charter Schools (Dobson) (79204),10
AZ,400185,Phoenix Education Management LLC (4340),10
AZ,400190,Liberty Traditional Charter School (10968),10
AZ,400191,Fit Kids Inc. dba Champion Schools (78783),10
AZ,400212,Benson Unified School District (79226),10
AZ,400213,Painted Desert Demonstration Projects Inc. (79086),10
AZ,400218,American Basic Schools LLC (79215),10
AZ,400219,Career Success Schools (79047),10
AZ,400221,Kaizen Education Foundation dba South Pointe Eleme (79233),1
AZ,400223,Daisy Education Corporation dba Sonoran Science Ac (79049),10
AZ,400227,Kaizen Education Foundation dba South Pointe Junio (78965),10
AZ,400229,Milestones Charter School (79207),10
AZ,400230,Pathfinder Charter School Foundation (79024),10
AZ,400235,Excalibur Charter Schools Inc. (79214),10
AZ,400237,Paramount Education Studies Inc (79205),1
AZ,400239,P.L.C. Charter Schools (6235),10
AZ,400241,Paragon Management Inc. (5180),10
AZ,400243,Skyline Schools Inc. (79084),10
AZ,400244,Edkey Inc. - Sequoia Charter School (6446),6
AZ,400246,Edkey Inc. - Sequoia Village School (79211),1
AZ,400248,Telesis Center for Learning Inc. (79218),10
AZ,400255,Tucson Country Day School Inc. (79073),10
AZ,400259,Southgate Academy Inc. (79085),10
AZ,400268,Juniper Tree Academy (79064),10
AZ,400280,Mohave Accelerated Learning Center (79498),8
AZ,400282,Harvest Power Community Development Group Inc. (79501),10
AZ,400284,Omega Alpha Academy (79503),10
AZ,400288,Premier Charter High School (79569),10
AZ,400290,Pan-American Elementary Charter (79578),10
AZ,400295,Kingman Unified School District (79598),10
AZ,400310,Calibre Academy (79055),10
AZ,400318,Aprender Tucson (79426),10
AZ,400320,Acorn Montessori Charter School (79437),10
AZ,400326,Success School (79453),10
AZ,400339,Destiny School Inc. (6258),10
AZ,400340,Noah Webster Schools - Mesa (10760),10
AZ,400343,Griffin Foundation Inc. The (79500),10
AZ,400350,PEAK School Inc. The (79866),10
AZ,400351,Kaizen Education Foundation dba Vista Grove Prepar (79871),10
AZ,400352,American Charter Schools Foundation d.b.a. Estrell (79873),10
AZ,400353,American Charter Schools Foundation d.b.a. Peoria  (79875),10
AZ,400354,American Charter Schools Foundation d.b.a. Sun Val (79877),10
AZ,400355,American Charter Schools Foundation d.b.a. West Ph (79879),10
AZ,400356,Nosotros Inc (79881),10
AZ,400357,American Charter Schools Foundation d.b.a. Apache  (79883),10
AZ,400361,Arizona Community Development Corporation (79947),10
AZ,400367,Pima Prevention Partnership dba Pima Partnership S (79959),10
AZ,400368,Academy of Mathematics and Science Inc. (79961),10
AZ,400370,Midtown Primary School (79994),10
AZ,400373,Tucson International Academy Inc. (79979),10
AZ,400374,Bell Canyon Charter School Inc (79983),10
AZ,400376,Cortez Park Charter Middle School Inc. (79988),10
AZ,400382,CPLC Community Schools dba Toltecalli High School (80032),10
AZ,400384,American Charter Schools Foundation d.b.a. Desert  (79872),10
AZ,400385,American Charter Schools Foundation d.b.a. Crestvi (79874),10
AZ,400386,Kaizen Education Foundation dba Summit High School (79876),9
AZ,400387,Kaizen Education Foundation dba Tempe Accelerated  (79878),10
AZ,400388,Kaizen Education Foundation dba Skyview High Schoo (79880),10
AZ,400389,Kaizen Education Foundation dba Maya High School (79882),10
AZ,400390,Camelback Education Inc (79905),10
AZ,400395,LEAD Charter Schools (79967),10
AZ,400396,All Aboard Charter School (79969),10
AZ,400397,CAFA Inc. dba Learning Foundation Performing Arts (79971),10
AZ,400401,New World Educational Center (78882),10
AZ,400402,Cholla Academy (5186),10
AZ,400405,Cornerstone Charter SchoolInc (79077),10
AZ,400406,Happy Valley School Inc. (79081),10
AZ,400407,CITY Center for Collaborative Learning (85448),10
AZ,400413,Mohave Accelerated Elementary School Inc. (85516),8
AZ,400415,Arizona Montessori Charter School at Anthem (85749),10
AZ,400417,Arizona Agribusiness and Equine Center Inc. (85816),10
AZ,400424,Rosefield Charter Elementary School Inc. (87399),10
AZ,400425,East Mesa Charter Elementary School Inc. (87401),10
AZ,400438,Imagine Charter Elementary at Desert West Inc. (88367),10
AZ,400441,Imagine Middle at Surprise Inc. (88372),10
AZ,400442,Imagine Middle at East Mesa Inc. (88369),10
AZ,400444,Prescott Valley Charter School (88317),10
AZ,400445,Imagine Charter Elementary at Camelback Inc. (88365),10
AZ,400447,American Charter Schools Foundation d.b.a. South R (88334),10
AZ,400448,Desert Sky Community School Inc. (88308),10
AZ,400450,Agua Fria Union High School District (4289),10
AZ,400480,Aguila Elementary District (4249),10
AZ,400520,Ajo Unified District (4409),10
AZ,400600,Alhambra Elementary District (4280),10
AZ,400610,Desert Heights Charter Schools (81099),10
AZ,400613,Educational Impact Inc. (81123),6
AZ,400618,American Charter Schools Foundation d.b.a. South P (80989),10
AZ,400619,American Charter Schools Foundation d.b.a. Alta Vi (80995),10
AZ,400638,Edkey Inc. - Pathfinder Academy (81045),1
AZ,400640,Edkey Inc. - Sequoia School for the Deaf and Hard (81050),10
AZ,400641,Edkey Inc. - Sequoia Ranch School (81052),2
AZ,400649,Heritage Elementary School (81076),10
AZ,400650,Integrity Education Incorporated (5174),10
AZ,400653,Edkey Inc. - Arizona Conservatory for Arts and Ac (79981),3
AZ,400680,Amphitheater Unified District (4406),10
AZ,400720,Antelope Union High School District (4506),10
AZ,400745,Legacy Traditional School - Maricopa (88360),10
AZ,400748,Sage Academy Inc. (89414),10
AZ,400750,Apache Elementary District (4178),10
AZ,400751,Concordia Charter School Inc. (89556),6
AZ,400754,Imagine Desert West Middle Inc. (89563),10
AZ,400756,Imagine Camelback Middle Inc. (89561),10
AZ,400763,EAGLE South Mountain Charter Inc. (89850),10
AZ,400764,ASU Preparatory Academy (89949),10
AZ,400766,Imagine Coolidge Elementary Inc. (89786),10
AZ,400768,Pima Prevention Partnership dba Pima Partnership A (89864),10
AZ,400769,Imagine Prep Coolidge Inc. (90034),10
AZ,400770,Imagine Prep Surprise Inc. (89790),10
AZ,400774,Daisy Education Corporation dba Sonoran Science Ac (89915),10
AZ,400776,Daisy Education Corporation dba Sonoran Science Ac (89914),10
AZ,400778,Daisy Education Corporation dba Paragon Science Ac (89917),10
AZ,400780,Imagine Avondale Elementary Inc. (89784),10
AZ,400781,Math and Science Success Academy Inc. (89852),10
AZ,400783,Imagine Prep Superstition Inc. (89788),10
AZ,400785,AZ Compass Schools Inc. (89869),10
AZ,400786,West Valley Arts and Technology Academy Inc. (90036),10
AZ,400787,Kaizen Education Foundation dba Vista Grove Prepar (90330),1
AZ,400788,ASU Preparatory Academy (90273),10
AZ,400789,Kaizen Education Foundation dba Liberty Arts Acade (90334),10
AZ,400790,Apache Junction Unified District (4443),10
AZ,400792,Vector School District Inc. (90317),10
AZ,400793,Morrison Education Group Inc. (90192),10
AZ,400796,CAFA Inc. dba Learning Foundation and Performing  (90328),10
AZ,400797,Academy Del Sol Inc. (90199),10
AZ,400798,Pioneer Preparatory School (90140),10
AZ,400799,Kaizen Education Foundation dba Gilbert Arts Acade (90333),10
AZ,400801,Skyline Gila River Schools LLC (90329),10
AZ,400802,Imagine Avondale Middle Inc. (90162),10
AZ,400803,CAFA Inc. dba Learning Foundation and Performing  (90327),10
AZ,400805,Choice Academies Inc. (90138),10
AZ,400807,Daisy Education Corporation dba. Sonoran Science A (90284),10
AZ,400810,Imagine Superstition Middle Inc. (90160),10
AZ,400814,CPLC Community Schools dba Hiaki High School (90331),10
AZ,400815,Research Based Education Corporation (90275),10
AZ,400817,Ed Ahead (90506),10
AZ,400821,Pima Prevention Partnership (90536),10
AZ,400822,Daisy Education Corporation dba. Sonoran Science A (90541),10
AZ,400823,Kaizen Education Foundation dba Mission Heights Pr (90548),10
AZ,400824,Leading Edge Academy Maricopa (90637),10
AZ,400840,Arlington Elementary District (4274),1
AZ,400842,Legacy Traditional School - Northwest Tucson (91137),10
AZ,400845,Leading Edge Academy Queen Creek  (91174),10
AZ,400846,South Valley Academy Inc. (90540),10
AZ,400847,Legacy Traditional School - Avondale (91135),10
AZ,400849,EAGLE College Prep Harmony LLC (91170),10
AZ,400852,Kaizen Education Foundation dba Havasu Preparatory (90535),10
AZ,400853,South Phoenix Academy Inc. (91108),10
AZ,400855,Legacy Traditional School - Chandler (91133),10
AZ,400858,ASU Preparatory Academy (91303),10
AZ,400862,Collaborative Pathways Inc. (91773),10
AZ,400863,The Paideia Academies Inc (91250),10
AZ,400864,Happy Valley East (90906),10
AZ,400870,Ash Creek Elementary District (4187),10
AZ,400871,Legacy Traditional School ? Laveen Village (91763),10
AZ,400872,Institute for Transformative Education Inc. (90876),10
AZ,400875,Maryvale Preparatory Academy (90861),10
AZ,400876,George Gervin Youth Center Inc. (90884),10
AZ,400877,Empower College Prep (91277),10
AZ,400880,Southwest Leadership Academy (92043),10
AZ,400882,Kaizen Education Foundation dba Advance U (91329),10
AZ,400885,Incito Schools (91326),10
AZ,400887,Vista College Preparatory Inc. (91948),10
AZ,400890,ASU Preparatory Academy (92325),10
AZ,400891,Academy of Mathematics and Science South Inc. (90878),10
AZ,400892,Legacy Traditional School - Casa Grande (92199),10
AZ,400893,Hirsch Academy A Challenge Foundation (91275),10
AZ,400894,Kaizen Education Foundation dba Discover U Element (91328),10
AZ,400895,Espiritu Community Development Corp. (92250),9
AZ,400899,Legacy Traditional School - Gilbert (92047),10
AZ,400904,Edkey Inc. - Sequoia Pathway Academy (92226),3
AZ,400907,StrengthBuilding Partners (91992),10
AZ,400909,Madison Highland Prep (91935),10
AZ,400910,Ash Fork Joint Unified District (4471),7
AZ,400912,EAGLE College Prep Mesa LLC. (91939),10
AZ,400914,Franklin Phonetic Primary School Inc. (92596),10
AZ,400915,CASA Academy (91934),10
AZ,400916,EAGLE College Prep Maryvale LLC (91938),10
AZ,400924,Western School of Science and Technology Inc. (91937),10
AZ,400927,Legacy Traditional School - Queen Creek (92610),10
AZ,400929,Noah Webster Schools-Pima (92374),10
AZ,400933,Legacy Traditional School - Surprise (92879),10
AZ,400934,Self Development Academy-Phoenix (92381),10
AZ,400939,Espiritu Schools (92902),9
AZ,400940,Academy of Mathematics and Science Inc. (92768),10
AZ,400942,Ethos Academy - A Challenge Foundation Academy (92379),10
AZ,400945,Pensar Academy (92972),10
AZ,400946,ASU Preparatory Academy (346763),10
AZ,400948,Legacy Traditional School - Glendale (850100),10
AZ,400949,Painted Desert Montessori LLC (123733),10
AZ,400951,Legacy Traditional School - Peoria (850099),10
AZ,400952,Kaizen Education Foundation dba Colegio Petite Pho (92989),10
AZ,400953,The Grande Innovation Academy (92978),0
AZ,400954,Legacy Traditional School - North Chandler (850101),10
AZ,400956,ASU Preparatory Academy (92716),10
AZ,400959,Legacy Traditional School - Phoenix (873957),10
AZ,400960,Avondale Elementary District (4272),10
AZ,400961,BASIS Charter Schools Inc. (549803),10
AZ,400962,Legacy Traditional School - East Mesa (834265),10
AZ,400964,Synergy Public School Inc. (92981),10
AZ,400966,Highland Prep (92982),10
AZ,400968,Victory Collegiate Academy Corporation (92985),10
AZ,400975,Phoenix International Academy (903484),10
AZ,400976,Think Through Academy (92976),10
AZ,400978,Edison Project (743644),10
AZ,400981,Science Technology Engineering and Math Arizona (1000050),10
AZ,400987,Somerset Academy Arizona Inc. (1000160),10
AZ,400991,Legacy Traditional School - Goodyear (1000283),10
AZ,400993,New Horizon High School Inc. (1000165),10
AZ,400995,Self Development Scottsdale Academy (308420),10
AZ,400996,Legacy Traditional School - West Surprise (1000560),10
AZ,400997,Legacy Traditional School - North Phoenix (1000568),10
AZ,401000,Bagdad Unified District (4468),2
AZ,401003,Morrison Education Group Inc. (1001157),10
AZ,401050,Balsz Elementary District (4268),10
AZ,401080,Beaver Creek Elementary District (4481),10
AZ,401160,Bicentennial Union High School District (4515),10
AZ,401180,Bisbee Unified District (4169),10
AZ,401260,Bonita Elementary District (4224),10
AZ,401290,Bouse Elementary District (4513),1
AZ,401330,Bowie Unified District (4171),10
AZ,401380,Buckeye Elementary District (4269),10
AZ,401410,Buckeye Union High School District (4284),10
AZ,401460,Sierra Vista Unified District (4175),10
AZ,401500,Bullhead City School District (4378),10
AZ,401600,Camp Verde Unified District (4470),10
AZ,401650,Canon Elementary District (4484),10
AZ,401680,Cartwright Elementary District (4282),10
AZ,401710,Casa Grande Elementary District (4446),7
AZ,401740,Casa Grande Union High School District (4453),10
AZ,401760,Catalina Foothills Unified District (4410),10
AZ,401810,Cedar Unified District (4395),10
AZ,401870,Chandler Unified District #80 (4242),10
AZ,401940,Chinle Unified District (4158),10
AZ,402190,Concho Elementary District (4160),10
AZ,402220,Congress Elementary District (4479),8
AZ,402250,Continental Elementary District (4416),2
AZ,402320,Coolidge Unified District (4442),10
AZ,402370,Cottonwood-Oak Creek Elementary District (4487),10
AZ,402400,Crane Elementary District (4501),10
AZ,402430,Creighton Elementary District (4263),10
AZ,402530,Douglas Unified District (4174),10
AZ,402600,Duncan Unified District (4228),10
AZ,402690,Dysart Unified District (4243),10
AZ,402740,Mary C OBrien Accommodation District (4435),7
AZ,402760,Elfrida Elementary District (4185),10
AZ,402790,Eloy Elementary District (4448),10
AZ,402860,Flagstaff Unified District (4192),10
AZ,402920,Florence Unified School District (4437),10
AZ,403010,Flowing Wells Unified District (4405),10
AZ,403040,Fountain Hills Unified District (4247),3
AZ,403060,Fowler Elementary District (4273),10
AZ,403080,Fredonia-Moccasin Unified District (4195),10
AZ,403150,Fort Huachuca Accommodation District (4167),10
AZ,403200,Fort Thomas Unified District (4221),10
AZ,403240,Gadsden Elementary District (4505),10
AZ,403290,Ganado Unified School District (4157),10
AZ,403310,Gila Bend Unified District (4238),10
AZ,403400,Gilbert Unified District (4239),10
AZ,403420,Glendale Elementary District (4271),10
AZ,403450,Glendale Union High School District (4285),8
AZ,403500,Globe Unified District (4208),10
AZ,403550,Grand Canyon Unified District (4194),9
AZ,403660,Hackberry School District (4371),10
AZ,403730,Hayden-Winkelman Unified District (4212),10
AZ,403780,Higley Unified School District (4248),10
AZ,403820,Holbrook Unified District (4389),10
AZ,403860,Maricopa County Regional School District (4234),5
AZ,403870,Humboldt Unified District (4469),5
AZ,403900,Hyder Elementary District (4502),10
AZ,403950,Baboquivari Unified School District #40 (4412),10
AZ,403960,Isaac Elementary District (4259),10
AZ,403990,J O Combs Unified School District (4445),10
AZ,404010,Joseph City Unified District (4388),10
AZ,404060,Kayenta Unified School District #27 (4396),10
AZ,404230,Kyrene Elementary District (4267),10
AZ,404280,Lake Havasu Unified District (4368),10
AZ,404290,Laveen Elementary District (4276),10
AZ,404320,Liberty Elementary District (4266),10
AZ,404380,Litchfield Elementary District (4281),10
AZ,404410,Littlefield Unified District (4374),10
AZ,404440,Littleton Elementary District (4278),10
AZ,404500,Madison Elementary District (4270),10
AZ,404530,Maine Consolidated School District (4199),10
AZ,404570,Mammoth-San Manuel Unified District (4439),10
AZ,404630,Marana Unified District (4404),10
AZ,404720,Maricopa Unified School District (4441),10
AZ,404770,Altar Valley Elementary District (4418),10
AZ,404820,Mayer Unified School District (4473),10
AZ,404860,Mcnary Elementary District (4163),10
AZ,404920,McNeal Elementary District (4181),10
AZ,404970,Mesa Unified District (4235),10
AZ,405030,Miami Unified District (4211),8
AZ,405070,Mingus Union High School District (4488),10
AZ,405100,Mobile Elementary District (4253),10
AZ,405190,Mohave Valley Elementary District (4379),8
AZ,405220,Mohawk Valley Elementary District (4503),10
AZ,405320,Morenci Unified District (4230),10
AZ,405340,Morristown Elementary District (4251),10
AZ,405400,Murphy Elementary District (4265),10
AZ,405430,Naco Elementary District (4176),10
AZ,405500,Navajo County Accommodation District #99 (4386),8
AZ,405530,Nogales Unified District (4457),10
AZ,405640,Oracle Elementary District (4444),10
AZ,405670,Osborn Elementary District (4262),10
AZ,405730,Owens School District No.6 (4373),1
AZ,405760,Tonto Basin Elementary District (4215),10
AZ,405820,Page Unified District (4196),10
AZ,405850,Palo Verde Elementary District (4275),10
AZ,405880,Palominas Elementary District (4180),10
AZ,405930,Paradise Valley Unified District (4241),10
AZ,405980,Parker Unified School District (4510),8
AZ,406000,Patagonia Elementary District (4460),8
AZ,406030,Patagonia Union High School District (4462),8
AZ,406070,Payson Unified District (4209),10
AZ,406120,Peach Springs Unified District (4369),9
AZ,406150,Pearce Elementary District (4186),2
AZ,406210,Pendergast Elementary District (4283),10
AZ,406250,Peoria Unified School District (4237),10
AZ,406300,Phoenix Elementary District (4256),10
AZ,406330,Phoenix Union High School District (4286),10
AZ,406360,Picacho Elementary District (4452),10
AZ,406440,Pima Unified District (4220),10
AZ,406510,Pine Strawberry Elementary District (4214),10
AZ,406580,Blue Ridge Unified School District No. 32 (4397),10
AZ,406630,Pomerene Elementary District (4188),10
AZ,406730,Prescott Unified District (4466),10
AZ,406740,Sanders Unified District (4156),10
AZ,406780,Quartzsite Elementary District (4511),10
AZ,406810,Queen Creek Unified District (4245),10
AZ,406850,Ray Unified District (4438),10
AZ,406870,Red Mesa Unified District (4159),10
AZ,406900,Red Rock Elementary District (4447),10
AZ,406960,San Carlos Unified District (4210),10
AZ,407020,Riverside Elementary District (4257),10
AZ,407080,Roosevelt Elementary District (4279),10
AZ,407130,Round Valley Unified District (4155),10
AZ,407170,Saddle Mountain Unified School District (4254),10
AZ,407200,Sacaton Elementary District (4449),10
AZ,407240,Safford Unified District (4218),2
AZ,407300,Sahuarita Unified District (4411),8
AZ,407430,San Simon Unified District (4172),10
AZ,407500,Santa Cruz Elementary District (4459),10
AZ,407520,Santa Cruz Valley Unified District (4458),10
AZ,407530,Santa Cruz Valley Union High School District (4454),10
AZ,407570,Scottsdale Unified District (4240),10
AZ,407630,Seligman Unified District (4472),10
AZ,407680,Sentinel Elementary District (4250),10
AZ,407700,Show Low Unified District (4393),10
AZ,407750,Deer Valley Unified District (4246),10
AZ,407770,Skull Valley Elementary District (4478),10
AZ,407820,Snowflake Unified District (4391),10
AZ,407860,Solomon Elementary District (4222),10
AZ,407890,Somerton Elementary District (4500),10
AZ,407920,Sonoita Elementary District (4461),10
AZ,408020,St David Unified District (4173),10
AZ,408080,St Johns Unified District (4153),10
AZ,408130,Stanfield Elementary District (4451),10
AZ,408170,Sunnyside Unified District (4407),10
AZ,408230,Superior Unified School District (4440),10
AZ,408280,Tanque Verde Unified District (4408),10
AZ,408310,Tempe School District (4258),10
AZ,408340,Tempe Union High School District (4287),10
AZ,408410,Thatcher Unified District (4219),10
AZ,408430,Paloma School District (4255),10
AZ,408490,Tolleson Elementary District (4264),10
AZ,408520,Tolleson Union High School District (4288),10
AZ,408550,Toltec School District (4450),10
AZ,408600,Tombstone Unified District (4168),10
AZ,408640,Topock Elementary District (4376),10
AZ,408680,Tuba City Unified School District #15 (4197),10
AZ,408800,Tucson Unified District (4403),10
AZ,408820,Union Elementary District (4277),10
AZ,408850,Vail Unified District (4413),10
AZ,408910,Valley Union High School District (4190),10
AZ,409060,Washington Elementary School District (4260),10
AZ,409090,Wellton Elementary District (4504),10
AZ,409120,Wenden Elementary District (4512),3
AZ,409160,Whiteriver Unified District (4394),10
AZ,409190,Wickenburg Unified District (4236),10
AZ,409250,Willcox Unified District (4170),10
AZ,409310,Williams Unified District (4193),10
AZ,409390,Wilson Elementary District (4261),10
AZ,409430,Window Rock Unified District (4154),10
AZ,409460,Winslow Unified District (4387),10
AZ,409510,Yarnell Elementary District (4485),10
AZ,409540,Young Elementary District (4213),10
AZ,409570,Yucca Elementary District (4377),10
AZ,409600,Yuma Elementary District (4499),10
AZ,409630,Yuma Union High School District (4507),10
AZ,409733,Sedona-Oak Creek JUSD #9 (4467),10
AR,500001,Dewitt School District,0
AR,500006,Warren School District,0
AR,500009,Corning School District,0
AR,500012,Riverside School District,0
